method,macro_site_worst_mask_balanced_log_loss,worst_site_mask_balanced_log_loss,macro_site_worst_mask_balanced_brier,macro_site_worst_mask_aurc,macro_natural_roc_auc,macro_mcar_balanced_log_loss_auc,macro_mcar50_minus_natural_balanced_log_loss
neural_ensemble:all_backbones_equal,0.6150909320627105,0.6792208297012037,0.2118294288581767,0.20032543472161546,0.8194008539431095,0.5752404002854234,0.06722818141116221
router:equal_logit_blend,0.6159846064624476,0.6787035072556636,0.21265891120196873,0.20931245090096956,0.8225162891261659,0.5810828975279945,0.06256192795651867
neural_ensemble:v5_backbones_equal,0.6175547330017668,0.6891329320478221,0.2127297296316515,0.20350664352971262,0.816810146527376,0.5765282057667827,0.06805878465434971
neural_ensemble:v2_backbones_equal,0.6176608124814389,0.672515427554066,0.21277611132527985,0.20497748116809617,0.8204322936999462,0.5759459738837268,0.06662168043867736
router:support_aware_router,0.6190805441127617,0.6837756917599617,0.21413754773708066,0.21076161296937057,0.8205625275344858,0.5818324161234121,0.06180209750717376
neural:v5_attention_equal_budget,0.6205251224454735,0.6770895027558121,0.21436894008939233,0.2057822317020357,0.808827106298774,0.580758609123639,0.06423125043016926
router:selected_convex_blend,0.6207271817896742,0.7012673423957944,0.21428796896382798,0.20590946754098785,0.8177785031531255,0.5857379038371748,0.062023880224438305
control:random_forest_natural,0.6254630136854877,0.6650653908660639,0.21827200094570104,0.3504020139235545,0.8035355254769719,0.5928120808911683,0.06461649553388794
neural:v2_attention_equal_budget,0.6259445613344871,0.6883226665414152,0.216365070486241,0.1880008273059934,0.8092418667863295,0.5841259488291547,0.060079258138430625
neural:v2_deepsets_equal_budget,0.6269368552631183,0.7001608451173696,0.21652083135656128,0.24634311122284316,0.8193985912472292,0.5845574987546944,0.0719100875943214
neural:v5_deepsets_equal_budget,0.6281907830890803,0.7125642984297308,0.21690678554728077,0.21817680234771264,0.819103184370685,0.5866647561073419,0.0704827479660608
control:logistic_natural,0.6345911813700964,0.6886362201498166,0.22174596008543676,0.3592609715049863,0.798880674017341,0.5885139348879691,0.06740530801813158
control:random_forest_structured,0.6346114747373515,0.7573702827810413,0.21775660917882228,0.2042960130392044,0.8009440903604222,0.5975332998329805,0.04549018386223372
control:logistic_structured,0.6377161629916264,0.7408449890207234,0.2174562901712523,0.22206886539358378,0.796456840564019,0.5989095892242292,0.04621144414235019
control:histgb_structured,0.6552209075851794,0.8006195153249369,0.22513145242026136,0.22561157472122004,0.7801644376918979,0.6143521077549366,0.04048041700027298
control:histgb_natural,0.7206515981043178,0.8865026155160061,0.24601091901005784,0.41739656975939604,0.7791581171203644,0.6462290708116725,0.09063230503514785
